objid,ra,dec,method_a_score,method_a_anomaly,method_b_score,method_b_anomaly,method_a_rank,method_b_rank,combined_rank,either_anomaly,both_anomaly
12376400000000002823,294.3566673136602,13.113178573498484,-0.1437692473161588,True,-0.1046978598434829,True,11.0,4.0,7.5,True,True
12376400000000002711,287.92988918998753,17.897527666750285,-0.1613104894962536,True,-0.07921327355332575,True,7.0,12.0,9.5,True,True
12376400000000006055,295.03243689758216,13.002510767864187,-0.13723058422660894,True,-0.09739544413849144,True,14.0,6.0,10.0,True,True
12376400000000003127,298.3821201573336,16.77894195746701,-0.13889997687363176,True,-0.0632583012999054,True,12.0,18.0,15.0,True,True
12376400000000001375,297.85737115636664,17.755705482833793,-0.10002064905213293,True,-0.08065523834407606,True,30.0,9.0,19.5,True,True
12376400000000005879,285.23922092164213,17.226541080750575,-0.12488251552314089,True,-0.04452744721961999,True,18.0,30.0,24.0,True,True
12376400000000003431,293.8830141726602,13.052236250114229,-0.09459217427414457,True,-0.05577962304562423,True,35.0,23.0,29.0,True,True
12376400000000006826,180.49769518595983,43.02995613271701,-0.20441778307172165,True,-0.01145195796119114,True,1.0,65.0,33.0,True,True
12376400000000004901,185.5928499841725,6.141260436141531,-0.1216495260595587,True,-0.0247782222582017,True,19.0,50.0,34.5,True,True
12376400000000005431,297.197938564976,20.75464287714412,-0.09709420248032985,True,-0.03251241572396546,True,32.0,38.0,35.0,True,True
12376400000000002848,43.44516346836403,-4.237139329056936,-0.16785919555711803,True,-0.007617886724894385,True,5.0,70.0,37.5,True,True
12376400000000006695,297.6942528499486,21.495031817825705,-0.06557230460274432,True,-0.043577307642629015,True,48.0,31.0,39.5,True,True
12376400000000002551,288.38896872447106,-3.628021461028695,-0.013868544768260715,True,-0.07427608725686652,True,82.0,15.0,48.5,True,True
12376400000000003848,48.854832140296224,1.900548637866553,-0.03834400907510771,True,-0.030609918797710356,True,66.0,40.0,53.0,True,True
12376400000000003488,40.959506889190806,-11.826031902499782,-0.038854783383797886,True,-0.029165718465161916,True,65.0,42.0,53.5,True,True
12376400000000006365,192.2083878402665,14.152845866527526,-0.14862196218262658,True,0.002090442947636162,False,9.0,99.0,54.0,True,False
12376400000000001936,49.02954434486252,-5.950678444038678,-0.14403624999213915,True,0.0038261581139232836,False,10.0,102.0,56.0,True,False
12376400000000001091,118.11763466337835,19.24140284117649,-0.11359768904839818,True,-0.00036911747454493327,True,25.0,90.0,57.5,True,True
12376400000000003567,292.7500129137768,13.808191242445275,-0.10859218734692133,True,0.0002740393939751895,False,27.0,94.0,60.5,True,False
12376400000000006390,248.17549253732096,39.9705116083064,-0.13859149440418395,True,0.008226124186321848,False,13.0,111.0,62.0,True,False
12376400000000005623,296.89630472367674,12.748306336277045,-0.016308386511612927,True,-0.026019400844238483,True,79.0,46.0,62.5,True,True
12376400000000000250,77.32056343549964,-2.7336359253098266,0.018107586035471912,False,-0.07535336082253341,True,113.0,14.0,63.5,True,False
12376400000000004481,124.69144177120484,20.61039991407059,-0.11907107980561304,True,0.005127074027975742,False,21.0,106.0,63.5,True,False
12376400000000006263,287.9758100646747,17.55337308556141,-0.02613314793083288,True,-0.023823631500095033,True,74.0,53.0,63.5,True,True
12376400000000003239,293.69274467906746,12.201372962905705,-0.05781145647548369,True,-0.00735937494081651,True,56.0,72.0,64.0,True,True
12376400000000006817,129.68723151278004,23.7030527338532,-0.157973032916784,True,0.012588944302639793,False,8.0,121.0,64.5,True,False
12376400000000001386,177.5391382102754,54.2642128723,-0.17880560585557526,True,0.014367888716008359,False,2.0,128.0,65.0,True,False
12376400000000000191,194.9795093516684,-4.449107372586042,-0.1184315207478277,True,0.006238433162482626,False,22.0,108.0,65.0,True,False
12376400000000002446,253.3708424389164,34.10487544579982,-0.12532305752818773,True,0.010115374126138832,False,17.0,114.0,65.5,True,False
